aoi_id,task_id,semantic_type,selected_service_mode,default_mode_collision,mirror_mode_collision,scan_heading_rad,entry_x_m,entry_y_m,exit_x_m,exit_y_m,scan_length_m,service_time_s,swath_width_m,nominal_standoff_m,aoi_fits_single_swath,selected_scan_nfz_safe
A01,1,Hospital,A,False,False,0.0,700.0,3939.833969432232,1300.0,3939.833969432232,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A02,2,School,A,False,False,1.5707963267948966,5260.166030567768,4500.0,5260.166030567768,5100.0,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A03,3,Bridge,A,False,False,0.0,2600.0,4639.833969432232,3200.0,4639.833969432232,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A04,4,Residential damage,A,False,False,0.0,1200.0,2739.833969432232,1800.0,2739.833969432232,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A05,5,Main-road junction,A,False,False,1.5707963267948966,4860.166030567768,2900.0,4860.166030567768,3500.0,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A06,6,Apartment block,A,False,False,0.0,2500.0,2239.833969432232,3100.0,2239.833969432232,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A07,7,Emergency shelter,B,True,False,3.141592653589793,1100.0,2560.166030567768,500.0000000000001,2560.166030567768,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A08,8,Industrial block,A,False,False,0.0,4800.0,1539.8339694322322,5400.0,1539.8339694322322,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A09,9,Bridge,B,True,False,4.71238898038469,2839.833969432232,1700.0,2839.833969432232,1100.0,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A10,10,Residential damage,B,True,False,3.141592653589793,2100.0,1760.1660305677678,1500.0,1760.1660305677678,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A11,11,School,A,False,False,1.5707963267948966,4760.166030567768,600.0,4760.166030567768,1200.0,600.0,15.0,426.95387347600104,560.1660305677677,True,True
A12,12,Clinic,B,True,False,3.141592653589793,2800.0,4560.166030567768,2200.0,4560.166030567768,600.0,15.0,426.95387347600104,560.1660305677677,True,True
