experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E4,no_reorder,1000,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1938.2814426628297,18.11477983797037,24.47578267918703,15.728047807502689,75.60969932262304,166.76093063646834,81.19017107011354,10,0.0778520000003482,0.005597800001851283,0.0005597800001851283,0.001046699999278644,0.08344980000219948,0,0,True,True,0.08626530000037747,003efd5ffe91eda82ee5212d1e1fc1115a654b2079ec04a608d4766b8a3bd068
E4,full,1000,full,dubins,dubins,dubins,weighted_delay,20,3,1863.3393175389865,17.414386145224174,22.704611875064604,15.58520551771712,69.89062288185711,154.54740630248574,81.19017107011354,10,0.07570699999996577,0.0631543999988935,0.006315439999889349,0.02177560000018275,0.13886139999885927,11,11,True,True,0.14130170000134967,003efd5ffe91eda82ee5212d1e1fc1115a654b2079ec04a608d4766b8a3bd068
E4,local,1000,local,dubins,dubins,dubins,weighted_delay,20,3,1923.026466558786,17.972209967839124,24.322905628300294,15.728047807502689,74.70841185110017,169.66974853467696,81.19017107011354,10,0.07737199999974109,0.03081210000163992,0.003081210000163992,0.0058767999998963205,0.10818410000138101,10,11,True,True,0.11054599999988568,003efd5ffe91eda82ee5212d1e1fc1115a654b2079ec04a608d4766b8a3bd068
E4,no_reorder,1001,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2331.9509928037555,19.114352400030782,23.744979854749865,16.826508129449902,72.02754797886139,157.91359110319002,78.5731594633367,10,0.047578099998645484,0.006153999998787185,0.0006153999998787185,0.0012834000008297153,0.05373209999743267,0,0,True,True,0.05601380000007339,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
E4,full,1001,full,dubins,dubins,dubins,weighted_delay,20,3,2238.288715683128,18.34662881707482,23.532092260582125,14.658928984334564,69.59623072881273,147.55523751520877,78.5731594633367,10,0.04874589999963064,0.13212550000025658,0.013212550000025658,0.03608130000066012,0.18087139999988722,16,23,True,True,0.18347009999888542,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
E4,local,1001,local,dubins,dubins,dubins,weighted_delay,20,3,2297.4610601729114,18.831648034204193,23.977947279694597,16.216431281931193,76.96969125103536,159.02737123818744,78.5731594633367,10,0.049039499999707914,0.04725519999738026,0.004725519999738026,0.009487299999818788,0.09629469999708817,12,15,True,True,0.09873229999902833,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
E4,no_reorder,1002,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2170.3220434812188,21.071087800788533,21.98526155009324,19.345015990842814,73.60692075924692,152.07667583811704,76.90693803051695,10,0.04624409999996715,0.004689299999881769,0.0004689299999881769,0.0007595999995828606,0.050933399999848916,0,0,True,True,0.053214999999909196,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
E4,full,1002,full,dubins,dubins,dubins,weighted_delay,20,3,2019.6343120410784,19.608100116903675,20.90146128719549,14.095905629226992,70.82381042896984,142.61705680613335,76.90693803051695,10,0.0421358000003238,0.06102450000435056,0.006102450000435055,0.01643039999908069,0.10316030000467435,13,12,True,True,0.10547029999906954,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
E4,local,1002,local,dubins,dubins,dubins,weighted_delay,20,3,2014.83143742597,19.561470266271556,21.04081053942801,14.695671819429242,69.14690355047358,146.87636729836092,76.90693803051695,10,0.04184560000066995,0.03079740000066522,0.003079740000066522,0.012884100000519538,0.07264300000133517,11,10,True,True,0.07498080000004848,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
E4,no_reorder,1003,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2130.403987913489,17.180677321882975,19.929443204279785,15.598635533137493,76.71490716544308,163.02119425020845,79.94105783304978,10,0.04573450000134471,0.0025250000016967533,0.0002525000001696753,0.0006610999989788979,0.04825950000304147,0,0,True,True,0.05016090000026452,928e6ecadcc3e29bce8ab1bcdc3ba9bb293cdedc1b5e429a3696296f9a79850a
E4,full,1003,full,dubins,dubins,dubins,weighted_delay,20,3,2313.0755342733805,18.653834953817586,20.27520084386177,18.30868873522862,78.25737437262946,164.8022010503985,79.94105783304978,10,0.049114100000224425,0.022347599999193335,0.0022347599999193333,0.010059799998998642,0.07146169999941776,7,6,True,True,0.07344899999952759,928e6ecadcc3e29bce8ab1bcdc3ba9bb293cdedc1b5e429a3696296f9a79850a
E4,local,1003,local,dubins,dubins,dubins,weighted_delay,20,3,2314.4697200244145,18.665078387293665,20.383830820941547,18.29499387723741,74.83795944604165,170.92336510823435,79.94105783304978,10,0.04927700000007462,0.010578899997199187,0.0010578899997199186,0.005912799999350682,0.05985589999727381,4,4,True,True,0.06180619999940973,928e6ecadcc3e29bce8ab1bcdc3ba9bb293cdedc1b5e429a3696296f9a79850a
E4,no_reorder,1004,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2008.2887929465992,20.082887929465993,22.326783392903394,18.10088636229417,83.95634877435727,199.14198771251142,84.36853573586968,10,0.03938670000025013,0.0032588000012765406,0.00032588000012765404,0.0009602000009181211,0.04264550000152667,0,0,True,True,0.04459270000006654,36f049506a9f245c3a7992826d6a406fc84dc5560363ffe26fa19d3cb1196cf1
