variant,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
full,weighted_mean_delay,30,19.100791906639582,1.8316703640669671,18.673508755593907,16.03445732735848,23.37009520957886,18.445337084781638,19.756246728497526
full,weighted_delay,30,2126.3218130888727,404.54369793024483,2015.235997352624,1634.9900971266577,3175.9296020961465,1981.5577099716113,2271.0859162061342
full,high_priority_mean_delay,30,16.03598331940712,2.217853208260278,15.973742533202824,11.61949106746827,20.237213164362664,15.242334741559539,16.8296318972547
full,initial_planning_runtime,30,0.07465422000016889,0.02615837564883097,0.07202165000035166,0.0393277000002854,0.1283005000004777,0.0652935654919373,0.08401487450840048
full,total_replanning_runtime,30,0.11977086000024426,0.09796805791984405,0.10663720000047755,0.0223475999991933,0.4456993000021612,0.08471344071163239,0.15482827928885612
full,mean_replanning_runtime,30,0.011977086000024378,0.00979680579198441,0.01066372000004775,0.0022347599999193,0.0445699300002161,0.008471344071163189,0.015482827928885567
full,max_replanning_runtime,30,0.035001946666488905,0.026054273261615486,0.0251909999997224,0.0052316000001155,0.1102896000011242,0.025678544719092443,0.04432534861388537
full,total_algorithm_runtime,30,0.1944250800004132,0.1052436259648127,0.17851524999787216,0.0714616999994177,0.573999800002639,0.15676413212369783,0.23208602787712856
full,assignment_changes,30,12.833333333333334,7.007795331079444,12.0,4.0,38.0,10.325625980275092,15.341040686391576
full,successor_edge_changes,30,14.6,13.018819269519557,12.0,1.0,62.0,9.941275355814124,19.258724644185875
full,runner_wall_runtime,30,0.19744828666662212,0.10573305407697343,0.18141324999942293,0.0734489999995275,0.578662500000064,0.1596121991892658,0.23528437414397843
full,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
full,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
local,weighted_mean_delay,30,19.21712436897547,1.7886110330246356,18.946552406666704,16.386790107032343,24.171284396470007,18.57707813084053,19.857170607110408
local,weighted_delay,30,2138.3574516942094,396.83472506551016,2000.8834421477866,1646.6577110958906,3175.9296020961465,1996.351969087979,2280.36293430044
local,high_priority_mean_delay,30,16.26555230616254,2.146798998460608,16.555627848207294,11.68692759595754,20.237213164362664,15.497330150743442,17.033774461581636
local,initial_planning_runtime,30,0.07558925333329773,0.02688887625357343,0.0731809499993687,0.0402558000005228,0.1321545999999216,0.06596719254086691,0.08521131412572855
local,total_replanning_runtime,30,0.041814906666816844,0.032472438099591536,0.03290065000146565,0.0105788999971991,0.1427220000005036,0.030194793928517018,0.05343501940511667
local,mean_replanning_runtime,30,0.004181490666681648,0.003247243809959141,0.0032900650001465,0.0010578899997199,0.0142722000000503,0.00301947939285167,0.005343501940511626
local,max_replanning_runtime,30,0.0110783166665593,0.0074013610811763265,0.009596349999810551,0.0021993999998812,0.0340258999985962,0.008429773618563917,0.013726859714554684
local,total_algorithm_runtime,30,0.11740416000011461,0.04515481599639478,0.11027765000198994,0.0548076000013679,0.2694535999999061,0.10124571661665052,0.1335626033835787
local,assignment_changes,30,7.066666666666666,3.3828505968959877,7.0,1.0,12.0,5.856129127348031,8.277204205985303
local,successor_edge_changes,30,8.4,6.749712637561333,8.0,0.0,28.0,5.984646352730245,10.815353647269756
local,runner_wall_runtime,30,0.12040231333339758,0.045644399100500894,0.1131424500008506,0.0569374999995488,0.2737470000010944,0.10406867488613719,0.13673595178065798
local,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
local,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
no_reorder,weighted_mean_delay,30,19.565573458929247,1.9543241881093738,19.359264614367575,16.62163402433725,24.793278102823542,18.86622752982567,20.264919388032823
no_reorder,weighted_delay,30,2174.6848417410406,399.63950154652116,2091.352660841232,1674.797020579183,3253.3318681855053,2031.6756827611691,2317.6940007209123
no_reorder,high_priority_mean_delay,30,16.48734775996964,2.086958849213123,16.057855032644046,12.975111255576875,21.008227065909654,15.740539126947596,17.234156392991686
no_reorder,initial_planning_runtime,30,0.07470228333307505,0.027012539063748748,0.0705074999996213,0.0393867000002501,0.1310456999999587,0.065035970372348,0.0843685962938021
no_reorder,total_replanning_runtime,30,0.0065857833328966725,0.0027753987474263457,0.006357599999318999,0.0025250000016967,0.0141447999994852,0.005592619646205837,0.007578947019587508
no_reorder,mean_replanning_runtime,30,0.0006585783332896266,0.00027753987474263405,0.00063575999993185,0.0002525000001696,0.0014144799999485,0.0005592619646205433,0.00075789470195871
no_reorder,max_replanning_runtime,30,0.0013308366667236266,0.0005045151961904045,0.00126980000004545,0.0006571000012627,0.0024644000004627,0.001150298222399309,0.0015113751110479442
no_reorder,total_algorithm_runtime,30,0.08128806666597178,0.02766778052468586,0.0771549000010054,0.0426455000015266,0.1378196999958163,0.07138727855978304,0.09118885477216053
no_reorder,assignment_changes,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_reorder,successor_edge_changes,30,0.0,0.0,0.0,0.0,0.0,0.0,0.0
no_reorder,runner_wall_runtime,30,0.08402313333317576,0.027907652349231413,0.07961574999990255,0.0445927000000665,0.1407932999991317,0.07403650819696753,0.094009758469384
no_reorder,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
no_reorder,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
