strategy,weighted_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_replanning_runtime,assignment_changes,successor_edge_changes
full,1338.8269138098062,17.26570219414961,13.95668964070244,66.29585608580639,131.63409388418572,0.020567330000039873,4.4,4.9
local,1332.4983909137632,17.077409573548774,13.906613887261141,66.17104239971175,128.28856815001456,0.00865367000014885,2.8,3.0
no_reorder,1364.3958320870709,17.264397168609833,14.180774829432588,66.74568506880019,134.68232057842806,0.0019711500001903916,0.0,0.0
