variant,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
distance_oriented,weighted_delay,30,8357.653999380149,1338.986170101208,8331.679031358784,5996.039468570632,10887.9237574267,7878.50395207292,8836.804046687377
distance_oriented,weighted_mean_delay,30,75.33788066254078,6.757362340916152,75.60413299390413,61.32465626545069,92.99141476681582,72.91978960408173,77.75597172099984
distance_oriented,high_priority_mean_delay,30,75.16920752918175,12.516757077448348,76.4376471591959,41.89406547604239,95.20677211774444,70.69014353306956,79.64827152529394
distance_oriented,mean_delay,30,75.75962073323406,6.340508297935611,75.24524994791346,61.07610154959601,87.53631072525384,73.49069897829308,78.02854248817503
distance_oriented,makespan,30,181.1666559201559,9.435319461129719,181.65476601146236,159.75775142152662,199.29374250874616,177.79027021348546,184.54304162682635
distance_oriented,total_travel_time,30,101.7956718793899,7.814271195108476,98.83047715094953,85.40703017838045,116.3243409567636,98.99937084476105,104.59197291401875
distance_oriented,active_uav_count,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
distance_oriented,max_tasks_per_uav,30,20.0,0.0,20.0,20.0,20.0,20.0,20.0
distance_oriented,min_tasks_per_active_uav,30,20.0,0.0,20.0,20.0,20.0,20.0,20.0
distance_oriented,runner_wall_runtime,30,0.3634425666666478,0.05860769070969471,0.3770198000001983,0.2380796999987069,0.4985231999999087,0.3424700738932571,0.3844150594400385
distance_oriented,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
distance_oriented,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
mission_completion,weighted_delay,30,2618.489122141619,513.104138936558,2556.1203192302028,1802.379030334892,3719.904641848408,2434.8771641283383,2802.1010801549
mission_completion,weighted_mean_delay,30,23.54021891329245,2.816178294659471,23.053302646761203,18.20584879126153,31.794056767935107,22.532462453037386,24.547975373547512
mission_completion,high_priority_mean_delay,30,23.499424784813602,4.118584651508004,22.869905984310886,16.356185679622428,37.74881776771448,22.025608195311616,24.973241374315588
mission_completion,mean_delay,30,23.79087720699074,2.824504015805938,23.61125644420156,17.655065229577293,29.36596484815043,22.780141425686455,24.801612988295023
mission_completion,makespan,30,85.69879729014146,4.888952299554888,85.91618245541308,75.80669923526179,94.67177003072172,83.94930817821326,87.44828640206966
mission_completion,total_travel_time,30,163.64161966630817,12.80023753013682,163.15483975046635,138.17704102118802,188.0201274224856,159.06111349301048,168.22212583960587
mission_completion,active_uav_count,30,3.0,0.0,3.0,3.0,3.0,3.0,3.0
mission_completion,max_tasks_per_uav,30,7.266666666666667,0.44977644510880344,7.0,7.0,8.0,7.105716232850557,7.4276171004827765
mission_completion,min_tasks_per_active_uav,30,5.9,0.30512857662936477,6.0,5.0,6.0,5.790811141151893,6.009188858848107
mission_completion,runner_wall_runtime,30,0.1146626600001885,0.03398696558671005,0.10528850000082454,0.0634767999999894,0.1845756000002438,0.10250058056103314,0.12682473943934386
mission_completion,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
mission_completion,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
time_aware,weighted_delay,30,2138.3574516942094,396.83472506551016,2000.8834421477866,1646.6577110958906,3175.9296020961465,1996.351969087979,2280.36293430044
time_aware,weighted_mean_delay,30,19.21712436897547,1.7886110330246356,18.946552406666704,16.386790107032343,24.171284396470007,18.57707813084053,19.857170607110408
time_aware,high_priority_mean_delay,30,16.26555230616254,2.146798998460608,16.555627848207294,11.68692759595754,20.237213164362664,15.497330150743442,17.033774461581636
time_aware,mean_delay,30,23.16308148122105,2.6279000901598017,22.82422632051449,19.06606537316047,30.842056944409524,22.22269951116413,24.103463451277968
time_aware,makespan,30,88.12530336513687,4.642242583666852,88.08692084167986,77.56947482951854,98.25495966466804,86.46409819121975,89.786508539054
time_aware,total_travel_time,30,168.15414948847103,12.882120146695382,166.28778702095997,139.87530336901645,199.0557481938905,163.54434199715098,172.7639569797911
time_aware,active_uav_count,30,3.0,0.0,3.0,3.0,3.0,3.0,3.0
time_aware,max_tasks_per_uav,30,7.266666666666667,0.4497764451088036,7.0,7.0,8.0,7.105716232850557,7.4276171004827765
time_aware,min_tasks_per_active_uav,30,5.866666666666666,0.3457459036417604,6.0,5.0,6.0,5.742943084014795,5.990390249318538
time_aware,runner_wall_runtime,30,0.10832532000010052,0.0352629508953413,0.09724265000113515,0.0648820000005798,0.2275786999998672,0.09570663508237791,0.12094400491782313
time_aware,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
time_aware,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
