experiment,variant,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint
E2_v2,time_aware,1000,local,dubins,dubins,dubins,weighted_delay,20,3,1923.026466558786,17.972209967839124,24.322905628300294,15.728047807502689,85.218213054053,169.66974853467696,81.19017107011354,3,7,6,10,0.0805780999999115,0.030501499999445514,0.0030501499999445515,0.006144399998447625,0.11107959999935701,10,11,True,True,0.1138781999998173,003efd5ffe91eda82ee5212d1e1fc1115a654b2079ec04a608d4766b8a3bd068
E2_v2,mission_completion,1000,local,dubins,dubins,dubins,makespan,20,3,2366.848730038591,22.12008158914571,23.999331548846907,19.126333744125215,84.01678184269358,153.90969127374865,81.19017107011354,3,7,6,10,0.06815420000020822,0.02218610000272747,0.0022186100002727473,0.004228499999953783,0.09034030000293569,10,6,True,True,0.09315160000005562,003efd5ffe91eda82ee5212d1e1fc1115a654b2079ec04a608d4766b8a3bd068
E2_v2,distance_oriented,1000,local,dubins,dubins,dubins,total_travel_time,20,3,8666.171110726618,80.9922533712768,75.52330940326617,78.09935447252863,178.6022361067307,97.41206503661715,81.19017107011354,1,20,20,10,0.036973400001443224,0.25189400000454043,0.025189400000454044,0.04397100000096543,0.28886740000598365,0,4,True,True,0.29215300000032585,003efd5ffe91eda82ee5212d1e1fc1115a654b2079ec04a608d4766b8a3bd068
E2_v2,time_aware,1001,local,dubins,dubins,dubins,weighted_delay,20,3,2297.4610601729114,18.831648034204193,23.977947279694597,16.216431281931193,83.37867273245533,159.02737123818744,78.5731594633367,3,7,6,10,0.046617300000434625,0.04750700000113284,0.004750700000113284,0.009142200000496814,0.09412430000156746,12,15,True,True,0.09639550000065356,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
E2_v2,mission_completion,1001,local,dubins,dubins,dubins,makespan,20,3,2748.78780143204,22.53104755272164,23.801870955647153,20.497217439466212,75.80669923526179,146.3818013131442,78.5731594633367,3,8,5,10,0.07081900000048336,0.05351210000117135,0.005351210000117135,0.01587879999897268,0.1243311000016547,9,15,True,True,0.12711569999919448,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
E2_v2,distance_oriented,1001,local,dubins,dubins,dubins,total_travel_time,20,3,8858.1880988022,72.60809917050985,74.96719049256076,65.81935008065568,176.83424327416427,98.26108381082756,78.5731594633367,1,20,20,10,0.038391099998989375,0.35009360000003653,0.03500936000000365,0.08221330000014859,0.3884846999990259,0,22,True,True,0.39258130000052915,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
E2_v2,time_aware,1002,local,dubins,dubins,dubins,weighted_delay,20,3,2014.83143742597,19.561470266271556,21.04081053942801,14.695671819429242,77.56947482951854,146.87636729836092,76.90693803051695,3,8,5,10,0.04210380000040459,0.03262259999974049,0.003262259999974049,0.013298799998665345,0.07472640000014508,11,10,True,True,0.07738040000003821,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
E2_v2,mission_completion,1002,local,dubins,dubins,dubins,makespan,20,3,2571.9262534176532,24.97015780017139,22.881034249685303,27.264232612957645,76.95862166435313,138.17704102118802,76.90693803051695,3,7,6,10,0.06604369999877235,0.037856400000237045,0.0037856400000237044,0.010037799998826813,0.1039000999990094,10,16,True,True,0.10640890000104264,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
E2_v2,distance_oriented,1002,local,dubins,dubins,dubins,total_travel_time,20,3,7824.321341607799,75.96428486997863,73.71512778515913,87.44532557135115,172.2871662175145,95.38022818699753,76.90693803051695,1,20,20,10,0.07037280000076862,0.30613330000051064,0.030613330000051064,0.04406759999983478,0.37650610000127926,0,4,True,True,0.38001559999975143,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
E2_v2,time_aware,1003,local,dubins,dubins,dubins,weighted_delay,20,3,2314.4697200244145,18.665078387293665,20.383830820941547,18.29499387723741,83.96896338306897,170.92336510823435,79.94105783304978,3,7,6,10,0.053447500000402215,0.01217930000348133,0.001217930000348133,0.006801700001233257,0.06562680000388355,4,4,True,True,0.06805899999926623,928e6ecadcc3e29bce8ab1bcdc3ba9bb293cdedc1b5e429a3696296f9a79850a
