seed,comparison,metric,variant_A,variant_B,value_A,value_B,absolute_difference,relative_difference_percent,outcome_A_lower_is_better,scenario_fingerprint
1001,time_aware_vs_distance_oriented,makespan,time_aware,distance_oriented,83.37867273245533,176.8342432741643,-93.45557054170897,-52.84924956351084,win,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
1001,time_aware_vs_distance_oriented,total_travel_time,time_aware,distance_oriented,159.02737123818744,98.26108381082756,60.766287427359885,61.841662101292584,loss,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
1001,mission_completion_vs_distance_oriented,weighted_mean_delay,mission_completion,distance_oriented,22.53104755272164,72.60809917050985,-50.07705161778821,-68.96896102484288,win,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
1001,mission_completion_vs_distance_oriented,high_priority_mean_delay,mission_completion,distance_oriented,20.49721743946621,65.81935008065568,-45.32213264118947,-68.85837156649417,win,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
1001,mission_completion_vs_distance_oriented,mean_delay,mission_completion,distance_oriented,23.801870955647157,74.96719049256076,-51.1653195369136,-68.25028282471237,win,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
1001,mission_completion_vs_distance_oriented,makespan,mission_completion,distance_oriented,75.80669923526179,176.8342432741643,-101.0275440389025,-57.13121065712885,win,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
1001,mission_completion_vs_distance_oriented,total_travel_time,mission_completion,distance_oriented,146.3818013131442,98.26108381082756,48.12071750231664,48.97230483937949,loss,326a5400532f40cb7bdcebae3f9c8dfd872dced5e3505899268f16c5315dbfbc
1002,time_aware_vs_mission_completion,weighted_mean_delay,time_aware,mission_completion,19.56147026627156,24.97015780017139,-5.40868753389983,-21.660606141074148,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_mission_completion,high_priority_mean_delay,time_aware,mission_completion,14.695671819429242,27.264232612957645,-12.568560793528404,-46.09908143006031,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_mission_completion,mean_delay,time_aware,mission_completion,21.04081053942801,22.881034249685303,-1.8402237102572947,-8.042572246412352,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_mission_completion,makespan,time_aware,mission_completion,77.56947482951854,76.95862166435313,0.610853165165409,0.7937423409550918,loss,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_mission_completion,total_travel_time,time_aware,mission_completion,146.87636729836092,138.17704102118802,8.6993262771729,6.295782724019217,loss,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_distance_oriented,weighted_mean_delay,time_aware,distance_oriented,19.56147026627156,75.96428486997863,-56.40281460370707,-74.24912207130863,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_distance_oriented,high_priority_mean_delay,time_aware,distance_oriented,14.695671819429242,87.44532557135115,-72.74965375192191,-83.19444553106698,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_distance_oriented,mean_delay,time_aware,distance_oriented,21.04081053942801,73.71512778515913,-52.67431724573112,-71.45659083607518,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_distance_oriented,makespan,time_aware,distance_oriented,77.56947482951854,172.2871662175145,-94.71769138799597,-54.97663782362861,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,time_aware_vs_distance_oriented,total_travel_time,time_aware,distance_oriented,146.87636729836092,95.38022818699751,51.496139111363405,53.99037105510248,loss,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,mission_completion_vs_distance_oriented,weighted_mean_delay,mission_completion,distance_oriented,24.97015780017139,75.96428486997863,-50.994127069807234,-67.12908198515841,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,mission_completion_vs_distance_oriented,high_priority_mean_delay,mission_completion,distance_oriented,27.264232612957645,87.44532557135115,-60.181092958393506,-68.821395043339,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,mission_completion_vs_distance_oriented,mean_delay,mission_completion,distance_oriented,22.881034249685303,73.71512778515913,-50.834093535473826,-68.96019183962959,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,mission_completion_vs_distance_oriented,makespan,mission_completion,distance_oriented,76.95862166435313,172.2871662175145,-95.32854455316138,-55.33119305753047,win,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1002,mission_completion_vs_distance_oriented,total_travel_time,mission_completion,distance_oriented,138.17704102118802,95.38022818699751,42.796812834190504,44.869690131465504,loss,bac977afff5983f5f02211e95bb5bd4acf7a0d9a328b4221afb60dccebcb1493
1003,time_aware_vs_mission_completion,weighted_mean_delay,time_aware,mission_completion,18.665078387293665,19.52009778996069,-0.8550194026670255,-4.380200406100257,win,928e6ecadcc3e29bce8ab1bcdc3ba9bb293cdedc1b5e429a3696296f9a79850a
1003,time_aware_vs_mission_completion,high_priority_mean_delay,time_aware,mission_completion,18.29499387723741,19.826831218323196,-1.5318373410857866,-7.726082520287565,win,928e6ecadcc3e29bce8ab1bcdc3ba9bb293cdedc1b5e429a3696296f9a79850a
