seed,comparison,metric,variant_A,variant_B,value_A,value_B,absolute_difference,relative_difference_percent,outcome_A_lower_is_better,scenario_fingerprint
1004,time_aware_vs_distance_oriented,mean_delay,time_aware,distance_oriented,22.60893724712944,78.12919408211658,-55.520256834987144,-71.06211383242142,win,36f049506a9f245c3a7992826d6a406fc84dc5560363ffe26fa19d3cb1196cf1
1004,time_aware_vs_distance_oriented,total_travel_time,time_aware,distance_oriented,199.0557481938905,109.9847333407311,89.07101485315941,80.98488958210109,loss,36f049506a9f245c3a7992826d6a406fc84dc5560363ffe26fa19d3cb1196cf1
1005,time_aware_vs_distance_oriented,weighted_delay,time_aware,distance_oriented,1671.482074595029,5996.039468570632,-4324.557393975603,-72.12356450693133,win,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
1005,time_aware_vs_distance_oriented,weighted_mean_delay,time_aware,distance_oriented,18.367934885659658,65.89054361066628,-47.52260872500663,-72.12356450693134,win,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
1005,time_aware_vs_distance_oriented,high_priority_mean_delay,time_aware,distance_oriented,14.616350035176396,41.89406547604239,-27.277715440865997,-65.11116820702225,win,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
1005,time_aware_vs_distance_oriented,mean_delay,time_aware,distance_oriented,22.62438888918954,80.05370120281665,-57.429312313627115,-71.73848485547161,win,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
1005,time_aware_vs_distance_oriented,total_travel_time,time_aware,distance_oriented,164.35860490818368,109.50046127779824,54.85814363038544,50.09855026200534,loss,ac3e0c423ba30b6ed83812071978ee0eab613ff0a3b2a3dd494f8ec12ad0e6d9
1006,time_aware_vs_distance_oriented,weighted_delay,time_aware,distance_oriented,1911.2653127513893,7769.660164590049,-5858.39485183866,-75.40091494011651,win,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
1006,time_aware_vs_distance_oriented,weighted_mean_delay,time_aware,distance_oriented,18.555973910207666,75.43359383097135,-56.87761992076368,-75.40091494011651,win,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
1006,time_aware_vs_distance_oriented,high_priority_mean_delay,time_aware,distance_oriented,16.72006897695177,88.50376073286044,-71.78369175590868,-81.10806948936376,win,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
1006,time_aware_vs_distance_oriented,mean_delay,time_aware,distance_oriented,21.11848679402622,72.03805554255726,-50.919568748531034,-70.68426315095326,win,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
1006,time_aware_vs_distance_oriented,total_travel_time,time_aware,distance_oriented,139.87530336901645,97.30444106722936,42.57086230178709,43.75017402584341,loss,83bdc0825e5e2e93054ab339a9a27ca1db05cfccb837d2524713925798716880
1007,time_aware_vs_distance_oriented,weighted_delay,time_aware,distance_oriented,1951.1481792903376,6406.340316718774,-4455.192137428437,-69.54348219375139,win,ea69d165b54222d53244e69b6ef8594befc6149189a269a0f745eaab4c35bcd9
1007,time_aware_vs_distance_oriented,weighted_mean_delay,time_aware,distance_oriented,19.70856746757917,64.7105082496846,-45.00194078210542,-69.54348219375139,win,ea69d165b54222d53244e69b6ef8594befc6149189a269a0f745eaab4c35bcd9
