scale,strategy,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
small,no_reorder,weighted_delay,10,1895.4880091349241,250.15929996131112,1967.2973022147348,1331.4112296239928,2185.855589368947,1740.4376686477253,2050.538349622123
small,no_reorder,weighted_mean_delay,10,17.87758721498657,1.3001221173446906,17.66318520017387,16.359402136802164,20.285343876893783,17.071763178061264,18.683411251911874
small,no_reorder,high_priority_mean_delay,10,15.73614385552141,1.7785235284697556,15.680628158590672,13.02966622671967,18.58166065674352,14.633803551977316,16.838484159065505
small,no_reorder,mean_delay,10,20.46800624472074,2.0327190981964542,20.624651618371953,17.561607005966387,23.526758139535968,19.208113894770385,21.727898594671096
small,no_reorder,makespan,10,119.81719282436362,7.79332938404781,118.93567284611593,106.6614123115884,129.3572462098148,114.98683722810001,124.64754842062722
small,no_reorder,initial_planning_runtime,10,0.064322930000344,0.015039054955780085,0.0618780000004335,0.0445373999973526,0.1008205999969504,0.05500162716706925,0.07364423283361876
small,no_reorder,total_replanning_runtime,10,0.0025913500008754803,0.0009689417358230595,0.00296949999392375,0.0009847000037552,0.0039069000122253,0.001990793691056666,0.0031919063106942945
small,no_reorder,mean_replanning_runtime,10,0.0002591350000874928,9.689417358229492e-05,0.0002969499993923,9.84700003755279e-05,0.0003906900012225,0.0001990793691056182,0.0003191906310693674
small,no_reorder,max_replanning_runtime,10,0.0006960200007597,0.0003924939617057724,0.00081735000276235,0.0001369999954476,0.0013185000061639,0.00045274972293648315,0.0009392902785829169
small,no_reorder,total_algorithm_runtime,10,0.06691428000121954,0.015481145551097565,0.0648474999943573,0.0461033000028692,0.1040062999891233,0.057318966578129564,0.07650959342430952
small,no_reorder,runner_wall_runtime,10,0.06907967999941314,0.015695185245535315,0.06696279999960095,0.047702299998491,0.1064643999998224,0.059351703399277644,0.07880765659954864
small,no_reorder,assignment_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small,no_reorder,successor_edge_changes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0
small,no_reorder,total_travel_time,10,221.63143461610684,17.082863867026802,226.9917552430773,184.1792346212874,245.46845730057476,211.04336589554114,232.21950333667255
small,no_reorder,active_uav_count,10,3.0,0.0,3.0,3.0,3.0,3.0,3.0
small,full,weighted_delay,10,1873.386844708001,221.03608207733402,1916.335095924559,1422.6757947094893,2136.4516839078155,1736.3872616769188,2010.3864277390833
small,full,weighted_mean_delay,10,17.706384502874833,1.27323402256156,17.46913942516411,15.832101397719558,20.036026082400927,16.917225879755136,18.49554312599453
small,full,high_priority_mean_delay,10,15.492369363417371,1.5546858414847329,15.671829444369838,12.759682217431555,17.592863577332757,14.52876509561635,16.45597363121839
small,full,mean_delay,10,20.083375905172783,1.9150346946017816,20.408636767390817,17.661337891467547,22.31591405128608,18.89642510426821,21.270326706077356
small,full,makespan,10,119.62430301962763,8.106904564689144,118.93567284611593,105.62416683234164,129.3572462098148,114.59959151281306,124.6490145264422
small,full,initial_planning_runtime,10,0.06613386999742939,0.018233352551968056,0.060958849997405154,0.0466921999977785,0.1112773999993805,0.054832721002197105,0.07743501899266167
small,full,total_replanning_runtime,10,0.0223946499965677,0.01873791528199988,0.01508144999024805,0.0025931999916792,0.0546384000117541,0.010780769781266105,0.034008530211869295
small,full,mean_replanning_runtime,10,0.0022394649996567303,0.0018737915281999955,0.00150814499902475,0.0002593199991679,0.0054638400011754,0.001078076978126566,0.003400853021186895
small,full,max_replanning_runtime,10,0.00925914000035841,0.008312627204846039,0.0073102999995171,0.0003285999991931,0.0230579000053694,0.004106920280148672,0.014411359720568149
small,full,total_algorithm_runtime,10,0.08852851999399713,0.029524445132013605,0.08670234998862719,0.0548449999987497,0.1448300000047311,0.07022907931310973,0.10682796067488454
