experiment,variant,scale,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint,run_status,initial_task_count,dynamic_task_count,total_task_count,completed_task_count,all_uavs_returned,time_consistency_pass,error_type,error_message
E5,no_reorder,small,2000,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2060.308162898701,16.48246530318961,17.94044567918805,14.169970825355705,126.51576313800395,230.23552463537038,76.03144834191056,3,7,6,10,0.05870400000276277,0.0009847000037552789,9.84700003755279e-05,0.00013699999544769526,0.05968870000651805,0,0,True,True,0.06140189999860013,f04e9c0f2ed64012c470bc2c12691ffcf9bb3b75ef72e1720e000f6c492c2e4a,completed,10,10,20,20,True,True,,
E5,full,small,2000,full,dubins,dubins,dubins,weighted_delay,20,3,2060.308162898701,16.48246530318961,17.94044567918805,14.169970825355705,126.51576313800395,230.23552463537038,76.03144834191056,3,7,6,10,0.0576087999943411,0.0025931999916792847,0.00025931999916792845,0.0003285999991931021,0.06020199998602038,0,0,True,True,0.06208880000485806,f04e9c0f2ed64012c470bc2c12691ffcf9bb3b75ef72e1720e000f6c492c2e4a,completed,10,10,20,20,True,True,,
E5,local,small,2000,local,dubins,dubins,dubins,weighted_delay,20,3,2060.308162898701,16.48246530318961,17.94044567918805,14.169970825355705,126.51576313800395,230.23552463537038,76.03144834191056,3,7,6,10,0.05854849999741418,0.0022235000069485977,0.00022235000069485976,0.00036330000148154795,0.06077200000436278,0,0,True,True,0.06245420000050217,f04e9c0f2ed64012c470bc2c12691ffcf9bb3b75ef72e1720e000f6c492c2e4a,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2001,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2185.855589368947,19.007439907556062,23.526758139535968,16.515807573781377,113.04848440806836,227.6207800578086,83.5012946413799,3,7,6,10,0.05471019999822602,0.003906900012225378,0.0003906900012225378,0.0010566999990260229,0.058617100010451395,0,0,True,True,0.06091509999532718,d993dae26b7864c5b7b6a2c7c65fb5773af1f9860a0450510b89fe3d9003d719,completed,10,10,20,20,True,True,,
E5,full,small,2001,full,dubins,dubins,dubins,weighted_delay,20,3,2136.4516839078155,18.577840729633177,22.31591405128608,16.002775905195048,113.85578656390476,196.95903234246956,83.5012946413799,3,8,5,10,0.0560302000012598,0.05463840001175413,0.005463840001175413,0.023057900005369447,0.11066860001301393,11,12,True,True,0.11302509999950416,d993dae26b7864c5b7b6a2c7c65fb5773af1f9860a0450510b89fe3d9003d719,completed,10,10,20,20,True,True,,
E5,local,small,2001,local,dubins,dubins,dubins,weighted_delay,20,3,2125.5761577712465,18.483270937141274,23.021930626769354,15.759631624251302,111.52183650455363,225.0895697939581,83.5012946413799,3,7,6,10,0.0553626000037184,0.021889200004807208,0.002188920000480721,0.008118000005197246,0.0772518000085256,6,7,True,True,0.07992319999902975,d993dae26b7864c5b7b6a2c7c65fb5773af1f9860a0450510b89fe3d9003d719,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2002,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1967.678356058697,20.285343876893783,22.184342175812027,18.581660656743516,116.7901999760814,184.1792346212874,91.79554153558506,3,8,5,10,0.07220370000140974,0.003376500004378613,0.00033765000043786133,0.0008441000027232803,0.07558020000578836,0,0,True,True,0.07756379999773344,2e2b45a1a06711b6c6f5dd691b3713f1164c6d55479925ffaaa8d71506f81a6e,completed,10,10,20,20,True,True,,
E5,full,small,2002,full,dubins,dubins,dubins,weighted_delay,20,3,1943.49452999289,20.036026082400927,21.747100901131397,17.40578296150036,116.7901999760814,180.38141178351609,91.79554153558506,3,7,6,10,0.07082099999388447,0.042020599998068064,0.004202059999806806,0.017332100003841333,0.11284159999195253,7,5,True,True,0.11518989999603946,2e2b45a1a06711b6c6f5dd691b3713f1164c6d55479925ffaaa8d71506f81a6e,completed,10,10,20,20,True,True,,
E5,local,small,2002,local,dubins,dubins,dubins,weighted_delay,20,3,1953.2464068480772,20.136560895341002,21.980617696930956,17.40578296150036,116.7901999760814,178.66726473042053,91.79554153558506,3,8,6,10,0.0770704000024125,0.021173900007852353,0.0021173900007852354,0.012371299999358598,0.09824430001026485,4,5,True,True,0.10057740000047488,2e2b45a1a06711b6c6f5dd691b3713f1164c6d55479925ffaaa8d71506f81a6e,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2003,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1766.8154307746338,16.359402136802164,18.926864747845872,13.02966622671967,127.83079366024792,226.36273042834603,88.7328664891442,3,8,6,10,0.055005100002745166,0.0014859000002616085,0.00014859000002616086,0.00024449999909847975,0.056491000003006775,0,0,True,True,0.05839360000391025,f523568bb6d6858f3383d7500cd02fcf34be1bab2e547c348580b3ceaa39a850,completed,10,10,20,20,True,True,,
E5,full,small,2003,full,dubins,dubins,dubins,weighted_delay,20,3,1709.8669509537124,15.832101397719558,17.661337891467547,12.759682217431555,127.83079366024792,198.9597050934412,88.7328664891442,3,8,5,10,0.05374959999608109,0.004781799994816538,0.0004781799994816538,0.0008072999989963137,0.058531399990897626,1,0,True,True,0.06068840000079945,f523568bb6d6858f3383d7500cd02fcf34be1bab2e547c348580b3ceaa39a850,completed,10,10,20,20,True,True,,
E5,local,small,2003,local,dubins,dubins,dubins,weighted_delay,20,3,1709.8669509537124,15.832101397719558,17.661337891467547,12.759682217431555,127.83079366024792,198.9597050934412,88.7328664891442,3,8,5,10,0.05816670000058366,0.0037426000126288272,0.0003742600012628827,0.000985999999102205,0.06190930001321249,1,0,True,True,0.06408359999477398,f523568bb6d6858f3383d7500cd02fcf34be1bab2e547c348580b3ceaa39a850,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2004,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1655.440482111626,17.425689285385534,19.046073845468296,16.22377105563132,127.42167838726371,245.46845730057473,81.39463871768945,3,8,5,10,0.06951410000328906,0.0032242000015685335,0.00032242000015685334,0.0013185000061639585,0.07273830000485759,0,0,True,True,0.07551280000188854,54b23c70871ad35ad36e43ab8385a4969f460d0fa859877d83857542883244fc,completed,10,10,20,20,True,True,,
E5,full,small,2004,full,dubins,dubins,dubins,weighted_delay,20,3,1655.7867803748918,17.429334530262018,18.99320581160936,16.22377105563132,127.42167838726371,243.00743768295123,81.39463871768945,3,9,5,10,0.06065619999571936,0.00679939999099588,0.0006799399990995881,0.003185900000971742,0.06745559998671524,2,0,True,True,0.06931340000301134,54b23c70871ad35ad36e43ab8385a4969f460d0fa859877d83857542883244fc,completed,10,10,20,20,True,True,,
E5,local,small,2004,local,dubins,dubins,dubins,weighted_delay,20,3,1655.440482111626,17.425689285385534,19.046073845468296,16.22377105563132,127.42167838726371,245.46845730057473,81.39463871768945,3,8,5,10,0.0427032000006875,0.004329499999585096,0.00043294999995850957,0.0016882999989320524,0.0470327000002726,2,1,True,True,0.04894619999686256,54b23c70871ad35ad36e43ab8385a4969f460d0fa859877d83857542883244fc,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2005,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,1933.2735604159184,17.900681114962207,22.339631966364422,15.137485261550024,116.9261064355397,229.07413076124772,82.39805037630646,3,8,6,10,0.062082399999781046,0.0031788999986019917,0.00031788999986019916,0.0008611000012024306,0.06526129999838304,0,0,True,True,0.06734019999566954,ccf215d8148903bd42877a5895cc694b392ac522e1be25f8008d27d8f7690b39,completed,10,10,20,20,True,True,,
E5,full,small,2005,full,dubins,dubins,dubins,weighted_delay,20,3,1889.1756618562276,17.492367239409514,21.546967541345442,15.000759953021044,116.9261064355397,206.87927725274034,82.39805037630646,3,8,6,10,0.06126149999909103,0.04124479999154573,0.004124479999154574,0.01588859999901615,0.10250629999063676,5,8,True,True,0.10491699999693083,ccf215d8148903bd42877a5895cc694b392ac522e1be25f8008d27d8f7690b39,completed,10,10,20,20,True,True,,
E5,local,small,2005,local,dubins,dubins,dubins,weighted_delay,20,3,1885.7194995400248,17.460365736481712,22.431449103116307,14.700975586513696,117.08447509358835,232.23992962377267,82.39805037630646,3,7,6,10,0.06332019999535987,0.023542299997643568,0.0023542299997643566,0.01224999999976717,0.08686249999300344,6,6,True,True,0.08917439999640919,ccf215d8148903bd42877a5895cc694b392ac522e1be25f8008d27d8f7690b39,completed,10,10,20,20,True,True,,
E5,no_reorder,small,2006,no_reorder,dubins,dubins,dubins,weighted_delay,20,3,2086.9846986990988,18.801663952244134,21.905035650282468,17.592863577332757,112.67500446033559,230.90610461517528,78.0281999654244,3,8,6,10,0.061673600001086015,0.0027600999892456457,0.00027600999892456456,0.00047139999514911324,0.06443369999033166,0,0,True,True,0.06658540000353241,34a01d79689ecc854efe4cb16ff509810157698e70c94bb11e4b9788a2d4b171,completed,10,10,20,20,True,True,,
E5,full,small,2006,full,dubins,dubins,dubins,weighted_delay,20,3,2085.285743975149,18.786358053830174,21.820087914084993,17.592863577332757,110.9760497363861,232.49730620995825,78.0281999654244,3,7,6,10,0.0791081999996095,0.015049199988425244,0.0015049199988425243,0.0030287999979918823,0.09415739998803474,3,0,True,True,0.09660660000372445,34a01d79689ecc854efe4cb16ff509810157698e70c94bb11e4b9788a2d4b171,completed,10,10,20,20,True,True,,
