scale,variant,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
large,full,weighted_mean_delay,10,23.273268601369324,1.3970426279299426,22.799844232248553,21.18268870891148,25.37616716872897,22.40737260961859,24.139164593120057
large,full,high_priority_mean_delay,10,17.72155890496883,1.591005258927529,17.330916571075164,15.50201968680162,21.07139088764825,16.735443629015514,18.707674180922147
large,full,initial_planning_runtime,10,8.809004439997807,0.6547552749023305,8.513660699998582,8.278827999994974,10.024316899995029,8.403182916172401,9.214825963823213
large,full,total_replanning_runtime,10,55.10984904000797,16.418893832920322,57.88192015000459,29.36667890001263,77.87575480002852,44.933313210193994,65.28638486982194
large,full,total_algorithm_runtime,10,63.91885348000578,16.88630899023323,66.16485145000115,37.82279690001451,87.74767410002823,53.45261073423284,74.38509622577872
large,full,runner_wall_runtime,10,63.944819890001234,16.88955478017821,66.1906479499994,37.84497430000192,87.78007700000308,53.476565382777906,74.41307439722456
large,full,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
large,full,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
large,local,weighted_mean_delay,10,23.95158695670785,1.5010008639339978,23.22585388253485,22.190469570975537,26.693716589470743,23.021256982725113,24.881916930690586
large,local,high_priority_mean_delay,10,18.54715614695878,1.7953326299740955,18.058575096456366,16.431007702774664,22.763200270123956,17.43439745436445,19.65991483955311
large,local,initial_planning_runtime,10,8.754669470000227,0.615746788149008,8.523226900000736,8.251463099993998,9.921930399999836,8.373025656753356,9.136313283247098
large,local,total_replanning_runtime,10,2.1016668999945978,0.5880667455843824,2.1203436000323563,1.2062059000163572,3.1667213999899104,1.7371793548737124,2.466154445115483
large,local,total_algorithm_runtime,10,10.856336369994825,1.1078648978753303,10.542475450034544,9.76161889994546,13.088651799989748,10.169674592255792,11.542998147733858
large,local,runner_wall_runtime,10,10.881653849999566,1.1117351176758385,10.567093199999363,9.78412820000085,13.121041499995044,10.192593285175976,11.570714414823156
large,local,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
large,local,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
large,no_reorder,weighted_mean_delay,10,24.347262919751614,1.6731234265222685,23.546050732771562,22.38558660943985,26.85055968464633,23.31025027621005,25.38427556329318
large,no_reorder,high_priority_mean_delay,10,18.409100899055524,1.8743730523107445,18.02820196432321,16.315745611665164,22.82227865667957,17.24735244514732,19.570849352963727
large,no_reorder,initial_planning_runtime,10,8.920770099998482,0.6573021743415046,8.584640499997477,8.342448899995361,9.936239800001204,8.513369991546034,9.32817020845093
large,no_reorder,total_replanning_runtime,10,0.4391025800105126,0.10658209819748214,0.4535397000145167,0.2732198000012431,0.6019965000014054,0.3730423111421737,0.5051628488788515
large,no_reorder,total_algorithm_runtime,10,9.359872680008994,0.7329360101954722,8.986411600020801,8.648989399996935,10.538236300002607,8.905594234419674,9.814151125598315
large,no_reorder,runner_wall_runtime,10,9.385649469999771,0.7362941651692988,9.012366400002065,8.669089200004237,10.57002829999692,8.929289618393641,9.842009321605902
large,no_reorder,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
large,no_reorder,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
medium,full,weighted_mean_delay,10,20.295825834031984,1.0927401315277867,20.18068352387936,19.008034103923915,22.933672785460875,19.618538483597227,20.97311318446674
medium,full,high_priority_mean_delay,10,16.711630905361705,1.1791649640555024,16.449354021702458,15.399963405627878,18.91317942826285,15.980776888758456,17.442484921964954
medium,full,initial_planning_runtime,10,0.7854977699986193,0.02848953801150713,0.7880031999957282,0.7389925999959814,0.8335499999957392,0.7678397713965671,0.8031557686006715
medium,full,total_replanning_runtime,10,1.796861670006183,1.0949497552806047,1.3481749500206206,0.9136886000269442,4.581576800002949,1.1182047805805677,2.4755185594317983
medium,full,total_algorithm_runtime,10,2.582359440004802,1.0993251093995149,2.134446250016481,1.7043319000222257,5.383996300006402,1.9009906780004182,3.2637282020091862
medium,full,runner_wall_runtime,10,2.5903205800008435,1.0999199135917128,2.1421424500040303,1.7126742000036757,5.393517399999837,1.9085831545386638,3.2720580054630233
medium,full,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
medium,full,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
medium,local,weighted_mean_delay,10,20.688334446917732,1.3371400852693356,20.525551895402053,18.991297025919486,23.70813216621533,19.85956643576581,21.517102458069655
medium,local,high_priority_mean_delay,10,17.19679614546315,1.3305050215519516,16.82644133011048,15.967304042236702,19.64200882437528,16.372140589409614,18.021451701516686
medium,local,initial_planning_runtime,10,0.7815984800014121,0.03864553139298099,0.7854276500038395,0.7361786000037682,0.860975800002052,0.7576457314858976,0.8055512285169265
medium,local,total_replanning_runtime,10,0.22301836000406178,0.1346045414675378,0.17126085001291355,0.1329809000017121,0.5694966999944882,0.1395896008538212,0.30644711915430234
medium,local,total_algorithm_runtime,10,1.004616840005474,0.1415286653578806,0.9790177499999118,0.8952829000190832,1.3753512999901432,0.9168964644054782,1.0923372156054698
medium,local,runner_wall_runtime,10,1.0127878199993574,0.1417507937484153,0.9870032499966328,0.902474300004542,1.3837332000039169,0.9249297677965346,1.1006458722021804
medium,local,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
medium,local,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
medium,no_reorder,weighted_mean_delay,10,21.058899049511897,1.4843346763992735,20.75890430010291,19.47646358809342,24.73293567567507,20.138898885583323,21.97889921344047
medium,no_reorder,high_priority_mean_delay,10,17.37558534543364,1.4385566428102032,17.038825591843814,15.858183176674965,20.168861952961628,16.48395870068232,18.267211990184965
medium,no_reorder,initial_planning_runtime,10,0.8037112700010767,0.0462137373634329,0.8043077500005893,0.7541219999984605,0.9116319000022486,0.7750676988266513,0.8323548411755021
medium,no_reorder,total_replanning_runtime,10,0.04077427999945933,0.013120361685525328,0.0364966999950411,0.0308897999857435,0.0745058000175049,0.03264219557577202,0.048906364423146644
medium,no_reorder,total_algorithm_runtime,10,0.844485550000536,0.049797956282055404,0.843670549991657,0.7888142999800039,0.945329899994249,0.8136204569246701,0.875350643076402
medium,no_reorder,runner_wall_runtime,10,0.8521517900000617,0.05021713647127905,0.8510133999989193,0.7957244999997783,0.9526961000010488,0.8210268863511943,0.8832766936489291
medium,no_reorder,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
medium,no_reorder,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
small,full,weighted_mean_delay,10,17.706384502874833,1.27323402256156,17.46913942516411,15.832101397719558,20.036026082400927,16.917225879755136,18.49554312599453
small,full,high_priority_mean_delay,10,15.492369363417371,1.5546858414847329,15.671829444369838,12.759682217431555,17.592863577332757,14.52876509561635,16.45597363121839
small,full,initial_planning_runtime,10,0.06613386999742939,0.018233352551968056,0.060958849997405154,0.0466921999977785,0.1112773999993805,0.054832721002197105,0.07743501899266167
small,full,total_replanning_runtime,10,0.0223946499965677,0.01873791528199988,0.01508144999024805,0.0025931999916792,0.0546384000117541,0.010780769781266105,0.034008530211869295
small,full,total_algorithm_runtime,10,0.08852851999399713,0.029524445132013605,0.08670234998862719,0.0548449999987497,0.1448300000047311,0.07022907931310973,0.10682796067488454
small,full,runner_wall_runtime,10,0.09065115000048532,0.029638032075311637,0.08884380000017694,0.0567733999996562,0.1468279000037,0.0722813074027554,0.10902099259821524
small,full,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
small,full,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
small,local,weighted_mean_delay,10,17.696773803108094,1.2631845166251154,17.601012398063347,15.832101397719558,20.136560895341,16.91384392829963,18.479703677916557
small,local,high_priority_mean_delay,10,15.397713211766554,1.5494302440060153,15.447933104369206,12.759682217431555,17.592863577332757,14.437366397031099,16.35806002650201
small,local,initial_planning_runtime,10,0.0645696799998404,0.016734309169848208,0.0608014499994169,0.0427032000006875,0.0997140999970724,0.05419764771879268,0.07494171228088811
small,local,total_replanning_runtime,10,0.010719060001429111,0.00828901643989801,0.00744835000296,0.0022235000069485,0.0235422999976435,0.005581474384948161,0.01585664561791006
small,local,total_algorithm_runtime,10,0.07528874000126956,0.0201213944917797,0.07248634999996281,0.0470327000002726,0.110440499985998,0.06281737048788272,0.0877601095146564
small,local,runner_wall_runtime,10,0.07745807999963286,0.020286675577144832,0.0749900500013609,0.0489461999968625,0.1126292000044486,0.06488426820820191,0.09003189179106381
small,local,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
small,local,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
small,no_reorder,weighted_mean_delay,10,17.87758721498657,1.3001221173446906,17.66318520017387,16.359402136802164,20.285343876893783,17.071763178061264,18.683411251911874
small,no_reorder,high_priority_mean_delay,10,15.73614385552141,1.7785235284697556,15.680628158590672,13.02966622671967,18.58166065674352,14.633803551977316,16.838484159065505
small,no_reorder,initial_planning_runtime,10,0.064322930000344,0.015039054955780085,0.0618780000004335,0.0445373999973526,0.1008205999969504,0.05500162716706925,0.07364423283361876
small,no_reorder,total_replanning_runtime,10,0.0025913500008754803,0.0009689417358230595,0.00296949999392375,0.0009847000037552,0.0039069000122253,0.001990793691056666,0.0031919063106942945
small,no_reorder,total_algorithm_runtime,10,0.06691428000121954,0.015481145551097565,0.0648474999943573,0.0461033000028692,0.1040062999891233,0.057318966578129564,0.07650959342430952
small,no_reorder,runner_wall_runtime,10,0.06907967999941314,0.015695185245535315,0.06696279999960095,0.047702299998491,0.1064643999998224,0.059351703399277644,0.07880765659954864
small,no_reorder,feasible,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
small,no_reorder,time_consistency_check,10,1.0,0.0,1.0,1.0,1.0,1.0,1.0
