seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,replanning_count,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible
40,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1108.0130180058125,15.184517352627907,12.349524739025247,71.15850971297863,123.48176103929435,55.45419728524906,8,0.0018860999998651096,0.0002357624999831387,0.000489699999889126,0,0,True,True
40,full,dubins,dubins,dubins,weighted_delay,16,3,1100.6359251303998,15.439124830162545,12.349524739025247,71.15850971297863,122.9507130246421,55.45419728524906,8,0.018872599999667727,0.002359074999958466,0.00658949999979086,4,7,True,True
40,local,dubins,dubins,dubins,weighted_delay,16,3,1100.6359251303998,15.439124830162545,12.349524739025247,71.15850971297863,122.9507130246421,55.45419728524906,8,0.007754600001135259,0.0009693250001419074,0.0029136000002836226,2,3,True,True
41,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1695.2471612145046,19.27540438845837,15.835950723470035,63.3205789532186,135.44604060100966,68.34278127532266,8,0.0025441000007049297,0.0003180125000881162,0.0006012000003465801,0,0,True,True
41,full,dubins,dubins,dubins,weighted_delay,16,3,1629.878373265021,18.945526572249562,15.22443810358781,60.30106154073579,127.61251627044936,68.34278127532266,8,0.029182600001149694,0.003647825000143712,0.009340700000393554,6,5,True,True
41,local,dubins,dubins,dubins,weighted_delay,16,3,1627.6125535812357,18.4997286395552,15.657864507422854,60.603049906204824,125.7483361136386,68.34278127532266,8,0.010024499999417458,0.0012530624999271822,0.003540400000019872,3,2,True,True
42,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1371.550572303214,19.0637631076385,17.18704276261469,66.1088953555556,136.87446204391938,66.24992241487901,8,0.0020795000009457,0.0002599375001182125,0.0005907000004299334,0,0,True,True
42,full,dubins,dubins,dubins,weighted_delay,16,3,1358.1163437170833,18.959861661938213,16.55972447334588,67.19089319419932,131.80287863220641,66.24992241487901,8,0.02211669999996957,0.002764587499996196,0.009292400000049383,5,6,True,True
42,local,dubins,dubins,dubins,weighted_delay,16,3,1301.2245417370161,18.612002566239923,15.899100540902072,65.54178520083504,115.78740225711543,66.24992241487901,8,0.013396099999226863,0.0016745124999033578,0.00693059999957768,6,6,True,True
43,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1216.6264276942934,16.455854357566317,15.239444512308001,70.59266225120581,157.5261578119277,55.80188948560977,8,0.0010482000006959424,0.0001310250000869928,0.000246300000071642,0,0,True,True
43,full,dubins,dubins,dubins,weighted_delay,16,3,1215.6004363486754,16.43007166910009,15.239444512308001,71.21676296742636,157.1136347964681,55.80188948560977,8,0.0040210000006482005,0.0005026250000810251,0.0016415000000051805,1,0,True,True
43,local,dubins,dubins,dubins,weighted_delay,16,3,1215.6004363486754,16.43007166910009,15.239444512308001,71.21676296742636,157.1136347964681,55.80188948560977,8,0.0024829999993016827,0.00031037499991271034,0.000636300000223855,1,0,True,True
44,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1467.4183364209787,18.586430855678348,11.720671132553202,59.803050510915725,127.69627377561235,71.40791265561406,8,0.0022747999983039335,0.0002843499997879917,0.0005659999997078557,0,0,True,True
44,full,dubins,dubins,dubins,weighted_delay,16,3,1380.1580379294114,18.432147166666546,10.3620266893496,59.30566530503049,124.7485103714485,71.40791265561406,8,0.024291400000038266,0.003036425000004783,0.008931899999879533,8,7,True,True
44,local,dubins,dubins,dubins,weighted_delay,16,3,1410.8582028990302,17.99726279815805,11.09222520453155,59.404648071979324,117.09139571043369,71.40791265561406,8,0.007405199999993783,0.0009256499999992229,0.0022391000002244255,1,1,True,True
45,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1289.7828098467567,16.690478314938417,18.245945419012504,61.09252640760815,121.11632073638039,65.10477915107121,8,0.001968999999007792,0.000246124999875974,0.0005111999998916872,0,0,True,True
45,full,dubins,dubins,dubins,weighted_delay,16,3,1263.4831706876537,16.47374344148145,18.245945419012504,58.45950111329979,121.09063742263425,65.10477915107121,8,0.01562279999780003,0.0019528499997250037,0.005696199999874807,2,1,True,True
45,local,dubins,dubins,dubins,weighted_delay,16,3,1263.4831706876537,16.47374344148145,18.245945419012504,58.45950111329979,121.09063742263425,65.10477915107121,8,0.005705099999431695,0.0007131374999289619,0.0015750000002299203,2,1,True,True
46,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1440.4772073069353,14.061330117563234,12.93683963451637,74.90452654709333,136.81842306704124,57.89288149355145,8,0.0008179999986168696,0.0001022499998271087,0.00017699999989417847,0,0,True,True
46,full,dubins,dubins,dubins,weighted_delay,16,3,1440.4772073069353,14.061330117563234,12.93683963451637,74.90452654709333,136.81842306704124,57.89288149355145,8,0.0021822999997311854,0.00027278749996639817,0.000720500000170432,0,0,True,True
46,local,dubins,dubins,dubins,weighted_delay,16,3,1440.4772073069353,14.061330117563234,12.93683963451637,74.90452654709333,136.81842306704124,57.89288149355145,8,0.001591700000972196,0.0001989625001215245,0.0003139000000373926,0,0,True,True
47,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1538.2435013733223,17.749575032502698,12.431854008785631,58.15097594974463,106.26216228627965,64.15119251270335,8,0.0031262000011338387,0.00039077500014172983,0.0007003999999142252,0,0,True,True
47,full,dubins,dubins,dubins,weighted_delay,16,3,1519.9355911029431,18.905418217777434,12.187832063666868,58.838831461095005,103.54076276595679,64.15119251270335,8,0.0489493000013681,0.006118662500171013,0.014106300000094052,10,14,True,True
47,local,dubins,dubins,dubins,weighted_delay,16,3,1519.9355911029431,18.905418217777434,12.187832063666868,58.838831461095005,103.54076276595679,64.15119251270335,8,0.022326900000734895,0.002790862500091862,0.0067540999998527695,7,12,True,True
48,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1392.6748799683628,18.39301494610587,13.11627573559106,70.13986784147728,133.89773037929876,65.06768242179139,8,0.002476300000125775,0.0003095375000157219,0.000706499999978405,0,0,True,True
48,full,dubins,dubins,dubins,weighted_delay,16,3,1359.278018776564,17.712770461381897,13.84221021497647,70.13986784147728,130.46141218900135,65.06768242179139,8,0.033597700001337216,0.004199712500167152,0.013726000000133354,6,8,True,True
48,local,dubins,dubins,dubins,weighted_delay,16,3,1318.3971642241563,17.16807951405914,12.713162624776826,70.13986784147728,121.64577166395058,65.06768242179139,8,0.013640799999848241,0.0017050999999810301,0.007546000000729691,5,5,True,True
49,no_reorder,dubins,dubins,dubins,weighted_delay,16,3,1123.9244067365287,17.183603213018664,12.74419962644914,72.18525715820417,167.7038740435172,67.2768624876803,8,0.001559399999678135,0.00019492499995976686,0.0003854000005958369,0,0,True,True
49,full,dubins,dubins,dubins,weighted_delay,16,3,1120.7060338333758,17.29702780317513,12.618910557235628,71.44294117472795,160.20145030200922,67.2768624876803,8,0.01125170000068465,0.0014064625000855813,0.003803600000537699,2,1,True,True
49,local,dubins,dubins,dubins,weighted_delay,16,3,1126.7591161195842,17.18733394139068,12.74419962644914,71.44294117472795,161.09860467826468,67.2768624876803,8,0.0042308000001867185,0.0005288500000233398,0.001151899999968009,1,0,True,True
