turning_radius,variant,metric,n,mean,std,median,min,max,ci95_lower,ci95_upper
5.0,dubins_aware,weighted_mean_delay,30,16.511318950046935,1.597327865935823,16.23066497415811,14.545957002464135,20.45284247812385,15.939722514162572,17.082915385931297
5.0,dubins_aware,weighted_delay,30,1838.7276070130274,353.9447681311779,1788.21783687871,1349.285129122291,2863.3979469373394,1712.070098383658,1965.3851156423968
5.0,dubins_aware,high_priority_mean_delay,30,14.420890128484228,1.9373208946232112,14.29309729090099,10.854356499289798,18.39535060219994,13.727628749811563,15.114151507156892
5.0,dubins_aware,total_travel_time,30,147.10004110854695,15.073439456676775,147.41239126231818,122.2806500861573,179.82604309759898,141.7060800729349,152.494002144159
5.0,dubins_aware,runner_wall_runtime,30,0.0863083099999736,0.024091173126547762,0.08451965000040215,0.0539520000002085,0.1392286000009335,0.07768739441396759,0.09492922558597962
5.0,dubins_aware,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5.0,dubins_aware,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5.0,euclidean_planned,weighted_mean_delay,30,16.688855289323772,1.6325439814975815,16.444345549664362,14.114308352818512,20.152112793604623,16.104656928330563,17.27305365031698
5.0,euclidean_planned,weighted_delay,30,1860.666827917981,369.4580828399017,1772.9543261844583,1392.759737776362,2783.4682574760795,1728.457950915617,1992.875704920345
5.0,euclidean_planned,high_priority_mean_delay,30,14.628775471441022,1.9374146827706145,14.323527918760048,10.820273967067855,18.71461480302891,13.935480531110837,15.322070411771207
5.0,euclidean_planned,total_travel_time,30,147.27183978001884,14.639625871866873,143.2556044338199,122.77630800505749,169.34730343474794,142.03311694202645,152.51056261801122
5.0,euclidean_planned,runner_wall_runtime,30,0.02855215666665266,0.008070221662366692,0.028187899999466,0.0155321000002004,0.0461444999982632,0.025664264933603208,0.03144004839970211
5.0,euclidean_planned,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
5.0,euclidean_planned,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10.0,dubins_aware,weighted_mean_delay,30,19.21712436897547,1.7886110330246356,18.946552406666704,16.386790107032343,24.171284396470007,18.57707813084053,19.857170607110408
10.0,dubins_aware,weighted_delay,30,2138.3574516942094,396.83472506551016,2000.8834421477866,1646.6577110958906,3175.9296020961465,1996.351969087979,2280.36293430044
10.0,dubins_aware,high_priority_mean_delay,30,16.26555230616254,2.146798998460608,16.555627848207294,11.68692759595754,20.237213164362664,15.497330150743442,17.033774461581636
10.0,dubins_aware,total_travel_time,30,168.15414948847103,12.882120146695382,166.28778702095997,139.87530336901645,199.0557481938905,163.54434199715098,172.7639569797911
10.0,dubins_aware,runner_wall_runtime,30,0.10121716000024508,0.033333559159209325,0.0893218499995782,0.0596456000002945,0.2150391000013769,0.08928889904826959,0.11314542095222058
10.0,dubins_aware,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10.0,dubins_aware,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10.0,euclidean_planned,weighted_mean_delay,30,20.831995916667058,2.4607605501446748,20.31858838838074,15.806499717570713,25.75712887507297,19.951424062870792,21.712567770463323
10.0,euclidean_planned,weighted_delay,30,2324.3710374728116,496.59344556189905,2293.030783407322,1657.372756049408,3510.4846596641773,2146.667355204414,2502.0747197412093
10.0,euclidean_planned,high_priority_mean_delay,30,17.352523323933045,2.8279581226908186,16.9598115884028,12.231980416835924,22.8644948011568,16.340551506354267,18.364495141511824
10.0,euclidean_planned,total_travel_time,30,174.02774637195577,9.164768533959025,173.35168396328493,155.95545817202418,198.98850745128004,170.74817607118533,177.30731667272622
10.0,euclidean_planned,runner_wall_runtime,30,0.032987366666808716,0.009015152009761806,0.0318811000006462,0.0201820999991468,0.0532785000013973,0.029761335951620126,0.0362133973819973
10.0,euclidean_planned,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
10.0,euclidean_planned,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
15.0,dubins_aware,weighted_mean_delay,30,22.802795346107427,2.1231901879686905,22.427677295267614,19.772773731733075,27.53044816098793,22.04302149502236,23.562569197192495
15.0,dubins_aware,weighted_delay,30,2534.985927665778,458.76657690570585,2412.879149368641,1957.5045994415743,3854.262742538311,2370.8184165026646,2699.1534388288915
15.0,dubins_aware,high_priority_mean_delay,30,18.674149771426762,2.267577868316056,18.68652576500176,14.172010325569971,23.348768045226866,17.862707452500988,19.485592090352537
15.0,dubins_aware,total_travel_time,30,196.8622366738784,8.82840199273114,195.06091023017274,180.92539209287617,215.7530409714171,193.70303359402538,200.02143975373144
15.0,dubins_aware,runner_wall_runtime,30,0.11983889666674559,0.041153152251979755,0.11354434999975635,0.0599440000005415,0.2437978000016301,0.10511243026352109,0.1345653630699701
15.0,dubins_aware,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
15.0,dubins_aware,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
15.0,euclidean_planned,weighted_mean_delay,30,27.6654078588894,2.9179172956245214,27.31620876268109,22.47338306606517,33.50380095524321,26.621244564707357,28.70957115307144
15.0,euclidean_planned,weighted_delay,30,3085.10085741722,616.8837845998429,3039.5878058930684,2179.918157408322,4388.99792513686,2864.351830150019,3305.8498846844213
15.0,euclidean_planned,high_priority_mean_delay,30,21.90992087932547,3.8730804402996872,21.38727720797597,14.567546459930991,30.430845228735777,20.523956843525138,23.2958849151258
15.0,euclidean_planned,total_travel_time,30,228.68354850751334,9.750964804991295,229.92622004262358,212.6410724653346,246.29075022118437,225.1942105651733,232.17288644985337
15.0,euclidean_planned,runner_wall_runtime,30,0.039315669999814375,0.009188137526711089,0.0384601999994629,0.0254786000004969,0.0570353000002796,0.036027737212385974,0.042603602787242775
15.0,euclidean_planned,feasible,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
15.0,euclidean_planned,time_consistency_check,30,1.0,0.0,1.0,1.0,1.0,1.0,1.0
