turning_radius,seed,comparison,metric,variant_A,variant_B,value_A,value_B,absolute_difference,relative_difference_percent,outcome_A_lower_is_better,scenario_fingerprint,relative_improvement_percent
5.0,1004,dubins_aware_vs_euclidean_planned,total_travel_time,dubins_aware,euclidean_planned,179.82604309759898,169.34730343474794,10.47873966285104,6.187721593623518,loss,c1cfdd8b535d1c868fbd1c3c2aff246c4e52d593ba9f96aebe8a8b05ee49340c,-6.187721593623518
5.0,1005,dubins_aware_vs_euclidean_planned,weighted_mean_delay,dubins_aware,euclidean_planned,14.827309111233967,15.305052063476506,-0.47774295224253827,-3.121472244989019,win,ef82aaee66b9a471651d462368c274c7e333bd14e1075ca0d3938c10036ae524,3.121472244989019
5.0,1005,dubins_aware_vs_euclidean_planned,weighted_delay,dubins_aware,euclidean_planned,1349.285129122291,1392.759737776362,-43.47460865407106,-3.121472244989025,win,ef82aaee66b9a471651d462368c274c7e333bd14e1075ca0d3938c10036ae524,3.121472244989025
5.0,1005,dubins_aware_vs_euclidean_planned,high_priority_mean_delay,dubins_aware,euclidean_planned,12.286669663785846,12.125633906614064,0.1610357571717813,1.328060523779648,loss,ef82aaee66b9a471651d462368c274c7e333bd14e1075ca0d3938c10036ae524,-1.328060523779648
5.0,1005,dubins_aware_vs_euclidean_planned,total_travel_time,dubins_aware,euclidean_planned,134.753402549297,138.1721019382839,-3.4186993889869086,-2.4742327438240093,win,ef82aaee66b9a471651d462368c274c7e333bd14e1075ca0d3938c10036ae524,2.4742327438240093
5.0,1006,dubins_aware_vs_euclidean_planned,weighted_mean_delay,dubins_aware,euclidean_planned,16.260874775104785,16.157722386039836,0.10315238906494884,0.6384092175891808,loss,b4e2926febc0ad1326f2924b08a3a9d34eb7d1cb94274e3df56bfec89a8849ae,-0.6384092175891808
5.0,1006,dubins_aware_vs_euclidean_planned,weighted_delay,dubins_aware,euclidean_planned,1674.8701018357929,1664.2454057621032,10.62469607368962,0.6384092175891741,loss,b4e2926febc0ad1326f2924b08a3a9d34eb7d1cb94274e3df56bfec89a8849ae,-0.6384092175891741
5.0,1006,dubins_aware_vs_euclidean_planned,high_priority_mean_delay,dubins_aware,euclidean_planned,13.194173082402289,15.131526443922168,-1.9373533615198788,-12.803423162228617,win,b4e2926febc0ad1326f2924b08a3a9d34eb7d1cb94274e3df56bfec89a8849ae,12.803423162228617
5.0,1006,dubins_aware_vs_euclidean_planned,total_travel_time,dubins_aware,euclidean_planned,146.39423303340809,132.05783365711557,14.336399376292519,10.856152171567931,loss,b4e2926febc0ad1326f2924b08a3a9d34eb7d1cb94274e3df56bfec89a8849ae,-10.856152171567931
5.0,1007,dubins_aware_vs_euclidean_planned,weighted_mean_delay,dubins_aware,euclidean_planned,16.815930161207362,17.50774005505316,-0.6918098938457966,-3.9514517103315314,win,62e2131119659854f3f860d11b5fa601663c61a65ed7a2552a81f7ac7ca2ae13,3.9514517103315314
5.0,1007,dubins_aware_vs_euclidean_planned,weighted_delay,dubins_aware,euclidean_planned,1664.777085959529,1733.2662654502628,-68.48917949073393,-3.951451710331535,win,62e2131119659854f3f860d11b5fa601663c61a65ed7a2552a81f7ac7ca2ae13,3.951451710331535
5.0,1007,dubins_aware_vs_euclidean_planned,high_priority_mean_delay,dubins_aware,euclidean_planned,14.935304798410202,15.282336278407255,-0.3470314799970531,-2.2708012287845114,win,62e2131119659854f3f860d11b5fa601663c61a65ed7a2552a81f7ac7ca2ae13,2.2708012287845114
5.0,1007,dubins_aware_vs_euclidean_planned,total_travel_time,dubins_aware,euclidean_planned,158.77422026184735,169.0732164572034,-10.29899619535604,-6.091441572570408,win,62e2131119659854f3f860d11b5fa601663c61a65ed7a2552a81f7ac7ca2ae13,6.091441572570408
5.0,1008,dubins_aware_vs_euclidean_planned,weighted_mean_delay,dubins_aware,euclidean_planned,14.82870902350751,15.021452439636665,-0.19274341612915435,-1.283121035756622,win,1e77f1bda6783df1b1ea9507de00e9b4d6ed9eb5b35d2c343cc0f30845eb0a00,1.283121035756622
5.0,1008,dubins_aware_vs_euclidean_planned,weighted_delay,dubins_aware,euclidean_planned,1393.898648209706,1412.0165293258462,-18.117881116140325,-1.2831210357566092,win,1e77f1bda6783df1b1ea9507de00e9b4d6ed9eb5b35d2c343cc0f30845eb0a00,1.2831210357566092
