experiment,variant,scale,h,source,seed,strategy,travel_model,planning_travel_model,execution_travel_model,objective_mode,task_count,uav_count,weighted_delay,weighted_mean_delay,mean_delay,high_priority_mean_delay,makespan,total_travel_time,total_service_time,active_uav_count,max_tasks_per_uav,min_tasks_per_active_uav,replanning_count,initial_planning_runtime,total_replanning_runtime,mean_replanning_runtime,max_replanning_runtime,total_algorithm_runtime,assignment_changes,successor_edge_changes,time_consistency_check,feasible,runner_wall_runtime,scenario_fingerprint,run_status,initial_task_count,dynamic_task_count,total_task_count,completed_task_count,all_uavs_returned,time_consistency_pass,error_type,error_message
H_SENSITIVITY,local_h1,medium,1,new_run,2000,local,dubins,dubins,dubins,weighted_delay,50,5,5471.574885329183,19.541338876175654,23.396440817644674,16.348184367883803,125.12502584559128,394.65117681630977,191.3778535141951,5,13,9,25,0.724652999999762,0.05777199999920413,0.002310879999968165,0.012805999999727646,0.7824249999989661,0,4,True,True,0.7921093999998448,78fddf90b7b6a42ec52d011cd5043823c179f5f2bc79d835eb85d30829b86ee4,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2001,local,dubins,dubins,dubins,weighted_delay,50,5,6058.704701300088,21.793901803237727,25.510485467370348,20.168861952961628,120.275339138149,364.93013594583056,207.87694922947452,5,11,9,25,0.7157351000000745,0.05358810000006997,0.002143524000002799,0.009010899999793764,0.7693232000001444,0,0,True,True,0.7804009000001315,fe0828697d954d1952c7b0ba2e4f485747ad0bb58c6121455a721dc2467487e2,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2002,local,dubins,dubins,dubins,weighted_delay,50,5,5946.245835045542,21.23659226801979,29.5640967310501,16.905650471750633,124.83768814971154,385.11886055298305,196.9045927517407,5,11,9,25,0.916723699999693,0.09515540000029432,0.003806216000011773,0.010924599999725615,1.0118790999999874,0,2,True,True,1.0246852999998737,2cb354e65bb1735d000802aff7cac32c0289f8ec8fd8d36dc1914901dde00ff7,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2003,local,dubins,dubins,dubins,weighted_delay,50,5,6164.193167244432,21.182794389156122,27.47239305215237,19.082932272331615,124.94226454711387,348.4158273341805,209.93931168299304,5,12,8,25,0.9362372000000505,0.09110889999965366,0.003644355999986146,0.009772599999905651,1.0273460999997042,0,0,True,True,1.0401495000000978,9f80443e01aeef821a4c386e5acf97363b314efee4ff9732ebe2f062bd6cca51,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2004,local,dubins,dubins,dubins,weighted_delay,50,5,5568.725513604777,20.54880263322796,27.062028777780917,17.20145336581347,127.03029667872819,357.0147483227276,201.27825987228837,5,12,8,25,0.9120438999998441,0.06823019999956159,0.0027292079999824636,0.011873999999806983,0.9802740999994057,0,0,True,True,0.9925852000001214,1757208cf575b36a146991fcda820f0f9bfaba0796dc54d07ad909f6a2520902,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2005,local,dubins,dubins,dubins,weighted_delay,50,5,5287.414896004485,20.104239148306025,26.097834391656743,16.710391706909746,130.64738118264054,353.55442594968997,201.22789406069546,5,12,8,25,0.9134399000004123,0.08453689999851122,0.0033814759999404487,0.014629699999659351,0.9979767999989235,0,6,True,True,1.0106957999996666,b1ff7a5e3e50214d0b60d1e5e08bd83dfbe53cf101a6025d58668082d9f0addd,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2006,local,dubins,dubins,dubins,weighted_delay,50,5,5180.73931443285,19.47646358809342,24.46573993668959,17.253560233898217,124.54166766458609,374.7669719670927,201.74015099089073,5,12,9,25,0.9389654999999948,0.07467850000057297,0.002987140000022919,0.011365500000010798,1.0136440000005678,0,0,True,True,1.0280703999997058,79edf26bd755e7b0ca72c35889071b4a6110564f2874d9480e09d5e9c145ceb3,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2007,local,dubins,dubins,dubins,weighted_delay,50,5,5666.003113853547,20.60364768674017,25.21615106304083,16.718513250119038,119.91873006666665,381.17745707327134,190.5550986448777,5,11,9,25,0.9092450000002827,0.07313520000070639,0.0029254080000282556,0.015800099999978556,0.9823802000009891,0,0,True,True,0.9954787000001488,889f69685877a4deb32387485dd90724ed5ad68c2207ade0e7786b5e5cf16524,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2008,local,dubins,dubins,dubins,weighted_delay,50,5,5270.368550193343,20.914160913465647,27.583201873858343,16.353741124730508,131.34643955971845,362.5718206986094,208.34137580730248,5,12,8,25,0.9133462999998301,0.08214930000031018,0.003285972000012407,0.011458499999662308,0.9954956000001403,0,0,True,True,1.0080328999997619,e731c197d7bbaac9d6ba09c757ab693dcf692adad87e97e8d7d7e66e6a3dad33,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h1,medium,1,new_run,2009,local,dubins,dubins,dubins,weighted_delay,50,5,6831.752080628915,24.486566597236255,29.089299822929526,16.77410430252369,125.93126447627894,314.24330790137213,210.12634601682205,5,12,9,25,0.9401384000002508,0.17731249999860665,0.007092499999944266,0.01635149999992791,1.1174508999988575,0,6,True,True,1.1325223999997434,4fe2e03f587c3c24d53a81c67b90ea42fadfb6aa861f808a7432fd94bed68b88,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2000,local,dubins,dubins,dubins,weighted_delay,50,5,5317.563167257456,18.991297025919486,22.549920515106123,16.017545638929167,128.14570761635667,385.10359487910813,191.3778535141951,5,12,8,25,0.7399910000021919,0.15777790000720415,0.0063111160002881665,0.05588040000293404,0.897768900009396,5,10,True,True,0.9059274999963236,78fddf90b7b6a42ec52d011cd5043823c179f5f2bc79d835eb85d30829b86ee4,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2001,local,dubins,dubins,dubins,weighted_delay,50,5,5957.092892810645,21.428391700757714,24.76510341797691,19.64200882437528,120.82095298724053,352.68453789811645,207.87694922947452,5,11,9,25,0.860975800002052,0.13298090000171214,0.005319236000068486,0.030145799995807465,0.9939567000037641,16,13,True,True,1.003268599997682,fe0828697d954d1952c7b0ba2e4f485747ad0bb58c6121455a721dc2467487e2,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2002,local,dubins,dubins,dubins,weighted_delay,50,5,5821.529511517134,20.791176826846907,28.17638450771523,16.830662697106018,120.94684186252715,365.683501436366,196.9045927517407,5,11,9,25,0.74029999999766,0.3332780000055209,0.013331120000220836,0.0697165000019595,1.073578000003181,15,32,True,True,1.0815803000004962,2cb354e65bb1735d000802aff7cac32c0289f8ec8fd8d36dc1914901dde00ff7,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2003,local,dubins,dubins,dubins,weighted_delay,50,5,6061.642864561777,20.830387850727757,26.673358348212286,19.511753055269573,126.38297149600166,368.9194800649819,209.93931168299304,5,11,9,25,0.7781238000025041,0.20376279998163227,0.008150511999265291,0.03598530000454048,0.9818865999841364,20,30,True,True,0.9897526999993715,9f80443e01aeef821a4c386e5acf97363b314efee4ff9732ebe2f062bd6cca51,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2004,local,dubins,dubins,dubins,weighted_delay,50,5,5423.852811080794,20.01421701505828,26.23189559848977,16.80688151928022,115.10088635082714,345.516488443821,201.27825987228837,5,12,9,25,0.764416899997741,0.14155439999740338,0.005662175999896135,0.031828699997277,0.9059712999951444,19,27,True,True,0.9130951000042842,1757208cf575b36a146991fcda820f0f9bfaba0796dc54d07ad909f6a2520902,completed,25,25,50,50,True,True,,
H_SENSITIVITY,local_h2,medium,2,E5_medium_reuse,2005,local,dubins,dubins,dubins,weighted_delay,50,5,5317.37239580278,20.218145991645553,25.733872341020543,17.35163160552346,120.4165550081912,358.4882898155733,201.22789406069546,5,11,9,25,0.7361786000037682,0.15910430001531495,0.006364172000612598,0.03177280000090832,0.8952829000190832,15,21,True,True,0.9024743000045419,b1ff7a5e3e50214d0b60d1e5e08bd83dfbe53cf101a6025d58668082d9f0addd,completed,25,25,50,50,True,True,,
