aoi_id,task_id,semantic_type,scan_heading_rad,entry_x_m,entry_y_m,exit_x_m,exit_y_m,scan_length_m,service_time_s,inner_ground_range_m,outer_ground_range_m,swath_width_m,nominal_standoff_m,aoi_fits_single_swath
A01,1,Hospital,0.0,700.0,3939.833969432232,1300.0,3939.833969432232,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A02,2,School,1.5707963267948966,5260.166030567768,4500.0,5260.166030567768,5100.0,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A03,3,Bridge,0.0,2600.0,4639.833969432232,3200.0,4639.833969432232,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A04,4,Residential damage,0.0,1200.0,2739.833969432232,1800.0,2739.833969432232,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A05,5,Main-road junction,1.5707963267948966,4860.166030567768,2900.0,4860.166030567768,3500.0,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A06,6,Apartment block,0.0,2500.0,2239.833969432232,3100.0,2239.833969432232,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A07,7,Emergency shelter,0.0,500.0,1439.8339694322322,1100.0,1439.8339694322322,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A08,8,Industrial block,0.0,4800.0,1539.8339694322322,5400.0,1539.8339694322322,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A09,9,Bridge,1.5707963267948966,3960.166030567768,1100.0,3960.166030567768,1700.0,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A10,10,Residential damage,0.0,1500.0,639.8339694322323,2100.0,639.8339694322323,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A11,11,School,1.5707963267948966,4760.166030567768,600.0,4760.166030567768,1200.0,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
A12,12,Clinic,0.0,2200.0,3439.833969432232,2800.0,3439.833969432232,600.0,15.0,373.04612652399885,799.9999999999999,426.95387347600104,560.1660305677677,True
